blind_id,reviewed,granularity_label,key_missing_evidence,annotator_notes
GRN-001,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe modified HKCU\Environment\windir; powershell.exe executed Get-Screenshot; powershell.exe invoked_wmi_against SysClient0402; GoogleUpdate.exe executed SysClient0201
GRN-002,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。Firefox (report PID 534051) received_data_from 208.203.20.42:80; /sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/sbin/sshd opened /var/log/sshdlog;...
GRN-003,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe on SCRANTON compressed_local_files_to C:\Users\pbeesly\AppData\Roaming\Draft.Zip; powershell.exe on SCRANTON created C:\Users\pbeesly\AppData\Roaming\Draft.Zip; p...
GRN-004,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。/usr/sbin/sshd opened /var/log/sshdlog; /usr/bin/sudo installed_kernel_module /home/admin/load_helper.ko; /usr/bin/sudo installed_kernel_module /home/admin/read_scan.ko
GRN-005,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe on SCRANTON compressed_local_files_to C:\Users\pbeesly\AppData\Roaming\Draft.Zip; powershell.exe on SCRANTON invoked_remote_command_on NASHUA; powershell.exe on N...
GRN-006,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。gup.exe created C:\Users\bbateman\AppData\Local\Temp\f.exe; gup.exe spawned f.exe (PID 1932); f.exe (PID 1932) remotely_created_thread_in lwabeat.exe (PID 1256); python.exe used...
GRN-007,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。powershell.exe invoked_wmi_against SysClient0402; GoogleUpdate.exe executed SysClient0201
GRN-008,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。powershell.exe on SCRANTON created C:\Users\pbeesly\AppData\Roaming\Draft.Zip; cmd.exe on SCRANTON executed C:\Windows\System32\sdclt.exe; powershell.exe on NASHUA created C:\Us...
GRN-009,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。/data/data/de.belu.appstarter/busybox opened /dev/msm_g711tlaw; /data/data/de.belu.appstarter/busybox executed /system/bin/screencap; /data/local/tmp/sl ran_elevate_driver_setup...
GRN-010,yes,G1_technique,缺少跨阶段关联证据,可见单项技术行为。gup.exe spawned f.exe (PID 1932); python.exe used_multicast 225.0.0.1:5000
GRN-011,yes,G2_tactic_intent,缺少更完整阶段链条与外传或收尾证据,可见约两阶段相关行为。powershell.exe connected_to 132.197.158.98:80; powershell.exe modified HKCU\Environment\windir; GoogleUpdate.exe executed SysClient0201
GRN-012,yes,G3_campaign,none,可见多阶段多类行为，学生判断可形成较完整叙事。powershell.exe on SCRANTON compressed_local_files_to C:\Users\pbeesly\AppData\Roaming\Draft.Zip; powershell.exe on SCRANTON created C:\Users\pbeesly\AppData\Roaming\Draft.Zip; c...
GRN-013,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。Firefox (report PID 534051) received_data_from 208.203.20.42:80; /sbin/modprobe executed_binfmt_handler /sbin/modprobe -q -- binfmt-0000; /usr/sbin/sshd opened /var/log/sshdlog;...
GRN-014,yes,G1_technique,缺少与攻击链的关联证据,可见主要是良性维护类行为。/usr/bin/sudo installed_kernel_module /home/admin/load_helper.ko; /usr/bin/sudo installed_kernel_module /home/admin/read_scan.ko
GRN-015,yes,G2_tactic_intent,缺少入口或完整战役收尾关系,可见三阶段相关行为，但战役关系仍不完整。/data/data/de.belu.appstarter/busybox received_data_on_socket outbound Micro APT C2 socket (remote IP scrubbed i; /data/data/de.belu.appstarter/busybox opened /dev/msm_g711tlaw;...
