paper_id,title,year,raw_or_semistructured_logs,cti_text,provenance_graph_input,C1_two_input_classes,C2_llm_cross_source_alignment,C3_case_level_provenance_mappable_graph,C4_source_or_span_pointer,C5_automated_investigation_controller,C6_cost_order_traceability_or_stop,classification,code,code_license,evidence
2603.17100,Auto-Prov,2026,Y,N,N,N,N,Y,P,P,N,partial_compiler_precedent,https://github.com/intelligenceafa-cloud/Auto-Prov,repository_404_on_2026-07-17,"fulltext lines 185-207; 221-276; 308-329; code claim lines 754-755"
2411.08359,MultiKG,2024,Y,Y,N,Y,P,P,N,P,N,partial_compiler_precedent,not_identified,unknown,"fulltext lines 160-190; 192-286; 585-658; 1373-1385"
2511.20290,APT-CGLP,2025,N,Y,Y,Y,Y,N,N,P,N,adjacent_precedent,not_identified,unknown,"fulltext lines 63-101; 121-139; 250-262; 659-665"
2607.05001,TACTIC-KG,2026,N,Y,N,N,N,N,Y,N,N,component_precedent,https://github.com/mohaminemed/TACTIC-KG,no_repository_license,"fulltext lines 210-280; especially minimal supporting sentence at 262-270"
2510.01409,OntoLogX,2025,Y,N,N,N,P,N,P,N,N,component_precedent,https://github.com/LucaCtt/ontologx,MIT,"fulltext lines 171-178; 184-234; 321; originating log persistence at 234"
2506.17512,Matryoshka,2025,Y,N,N,N,P,N,P,N,N,component_precedent,https://github.com/julien-piet/matryoshka,GPL-3.0,"fulltext lines 45-63; 123-150; output is deterministic parser and OCSF/UDM mapping"
2410.21060,CTINexus,2025,N,Y,N,N,N,N,N,N,N,component_precedent,https://github.com/peng-gao-lab/ctinexus,MIT,"fulltext lines 143-164; project and code at line 104"
2405.04753,AttacKG+,2024,N,Y,N,N,N,P,N,N,N,component_precedent,not_identified,unknown,"fulltext lines 42-79; 83-93; report-level behavior graph rather than system provenance"
2602.11211,TRACE,2026,N,Y,N,N,P,N,P,N,N,component_precedent,not_identified,unknown,"fulltext lines 54-71; 149-166; source parameter at 163 and relation validation at 156"
2509.01271,Automated Attack Investigation,2025,Y,P,N,P,P,P,U,P,N,adjacent_precedent,not_identified,unknown,"abstract only; arXiv HTML unavailable; iterative threat-knowledge retrieval and report generation stated"
2510.15188,OCR-APT,2025,Y,N,P,N,N,N,N,P,N,adjacent_precedent,https://github.com/CoDS-GCS/OCR-APT,Apache-2.0,"fulltext lines 90-110; 768-775; LLM consumes anomalous provenance subgraphs after detection"
2503.03108,OMNISEC,2025,N,N,Y,N,N,N,N,P,N,adjacent_precedent,https://github.com/Shike-Cheng/PIDS-with-LLM,no_repository_license,"fulltext lines 63-82; 213-225; LLM performs RAG anomaly judgment over a prebuilt graph"
2605.22027,Sieve,2026,Y,N,N,N,N,N,P,N,N,component_precedent,https://github.com/dr4Nx/sieve-public,no_repository_license,"fulltext lines 151-166; 901; output is executable query code and returned records, not a graph"
2507.10873,SHIELD,2025,Y,N,N,N,N,N,N,P,N,adjacent_precedent,not_identified,unknown,"abstract only; arXiv HTML unavailable; HIDS investigation pipeline rather than compiler-controller contract"
