source_id,domain,source_type,year,title,doi_or_url,evidence_level,action_definition_and_granularity,cost_construct_and_units,assignment_or_measurement_method,additivity_context_and_uncertainty,validation_or_governance,project05_supports,does_not_support,verified_location,status
DF-01,digital forensics,IETF Best Current Practice,2002,Guidelines for Evidence Collection and Archiving,https://doi.org/10.17487/RFC3227,verified_full_text_official,"Collection is an ordered and documented procedure over identified systems; no mathematical atomic action is defined.","Volatility is an ordering or urgency property; integrity and external avenues for change are procedural constraints. No numeric acquisition-cost scale is defined.","Site-specific procedures; collect from more volatile to less volatile sources; document every step.","No additive cost claim and no scalarization. Evidence disturbance is something to prevent, not a commensurate price.","Methods should be transparent, precisely reproducible, and testable by independent experts; use checksums or signatures where feasible.","Use volatility as delay loss, deadline, or priority; require reproducible action execution and audit records.","Does not justify V as positive burden; does not justify E+D+A+R+V or a 0-3 rubric.","RFC 3227 §§2.1, 3.1, 3.2; official RFC Editor text",included
DF-02,digital forensics,NIST Special Publication,2006,Guide to Integrating Forensic Techniques into Incident Response,https://doi.org/10.6028/NIST.SP.800-86,verified_full_text_local_pdf,"Collection comprises identifying, labeling, recording, and acquiring data while preserving integrity; the collection plan identifies sources and order.","Three distinct prioritization factors are likely value, volatility, and amount of effort. Effort includes staff and legal-advisor time, equipment, services, and outside experts. Operational disruption and monetary loss are separate.","Analyst or management estimates relative value and effort for the incident; organizational time, equipment, and service facts can be measured.","No formula says the factors are additive or equally weighted. Downtime impact is separate from acquisition effort.","Identify sources, plan, acquire, and verify integrity under organization-specific policies and legal review.","Separate utility, delay loss, burden, and operational impact; ground burden in measurable human time, equipment, and services.","Does not provide universal numbers, E/D/A/R anchors, or an equal-weight scalar; volatility is not a resource consumed.","Local PDF pp. 9, 27, 29, 32",included
DF-03,incident response,NIST Special Publication,2025,Incident Response Recommendations and Considerations for Cybersecurity Risk Management: A CSF 2.0 Community Profile,https://doi.org/10.6028/NIST.SP.800-61r3,verified_full_text_local_pdf,"Governs incident-response activities at organizational and process level rather than atomic planner actions.","Uses enterprise risk, incident impact, efficiency/effectiveness, retention cost, and disruption as distinct management concerns.","Organization-specific risk management, retention policy, and incident analysis.","No universal additive action cost and no per-action numeric scale.","Integrates response with CSF 2.0 governance and organizational risk management.","Treat operational impact and retention burden as contextual governance quantities.","Does not define acquisition-action costs or validate an ordinal rubric.","Local PDF pp. 5, 9-15, 37",included
DF-04,digital evidence,ISO standard public scope page,2012,ISO/IEC 27037:2012 Guidelines for identification collection acquisition and preservation of digital evidence,https://www.iso.org/standard/44381.html,verified_official_scope_page,"Names identification, collection, acquisition, and preservation as distinct activities.","No numeric cost construct appears in the official public scope.","Process guidance is adapted to devices, circumstances, organizations, and jurisdictions.","No public claim of additive or state-independent cost.","Supports disciplined evidence handling and cross-jurisdiction exchange.","Use a controlled action taxonomy aligned with recognized forensic activities.","Does not support a numeric cost table, weights, or action-count metric.","ISO official abstract page, accessed 2026-07-18",included_scope_only
DF-05,digital investigation,ISO standard public scope page,2015,ISO/IEC 27043:2015 Incident investigation principles and processes,https://www.iso.org/standard/44407.html,verified_official_scope_page,"Covers processes from pre-incident preparation through investigation closure; granularity is process-level.","No numeric per-action cost appears in the official public scope.","Uses idealized process models plus scenario-specific advice and caveats.","No scalar cost or additivity claim on the public page.","General principles apply across several digital-investigation scenarios.","Require action semantics to fit an auditable end-to-end investigation process.","Does not define atomic actions, resource units, or universal costs.","ISO official abstract page, accessed 2026-07-18",included_scope_only
MEAS-01,software measurement,ISO/IEC/IEEE standard public scope page,2017,ISO/IEC/IEEE 15939:2017 Systems and software engineering Measurement process,https://www.iso.org/standard/71197.html,verified_official_scope_page,"No domain action definition; it governs specification and use of measures.","Measures address specific information needs; no universal cost measure is prescribed.","Specify required information, how measures and results will be used, and how validity will be determined; tailor to users.","No permission to combine incommensurate units without an analysis model.","Requires determining whether analysis results are valid.","Derive measures from declared decision needs and validate the analysis model before planner use.","Does not validate a score merely because two raters agree.","ISO official abstract page, accessed 2026-07-18",included_scope_only
PLAN-01,AI planning,peer-reviewed journal article,2003,PDDL2.1: An Extension to PDDL for Expressing Temporal Planning Domains,https://doi.org/10.1613/jair.1129,verified_full_text_local_pdf,"Actions have parameters, preconditions, and effects; durative actions add start/end conditions, invariants, and timed effects.","Numeric fluents and plan metrics can represent resource consumption, energy, duration, or other quantities; metric is not action count.","Domain modeler specifies measurable fluents and the problem metric.","Aggregation follows declared transitions and metrics; concurrency and duration require explicit semantics.","Formal syntax and state-transition semantics make applicability and effects auditable.","Freeze preconditions, effects, timing, and metric separately for every acquisition action.","Does not supply cybersecurity action boundaries or numeric acquisition costs.","Local PDF pp. 2-5, 11 and formal semantics",included
PLAN-02,AI planning,peer-reviewed journal article,2010,The LAMA Planner: Guiding Cost-Based Anytime Planning with Landmarks,https://doi.org/10.1613/jair.2972,verified_full_text_local_pdf,"Operator o=<pre,effect> is applicable when preconditions hold; C maps operators to nonnegative integer costs.","Plan cost is the sum of supplied operator costs; unit-cost and nonuniform-cost tasks are distinguished.","Benchmark or domain author supplies costs in PDDL; planner optimizes the given values.","Additivity is a benchmark assumption. Cost-sensitive search can reduce task coverage under a time limit.","Empirical ablations compare cost-sensitive and distance-sensitive search on IPC tasks.","Shows planners consume exogenous costs and action count can differ from total cost.","Does not establish how real forensic costs should be assigned or that additive integers are universal.","Local PDF pp. 2-4, 9, 11, 25",included
PLAN-03,planning and control,reference textbook,2006,Planning Algorithms,https://planning.cs.uiuc.edu/,verified_full_text_local_pdf,"At state x an available choice u is in U(x), and x'=f(x,u) defines transition; a lower-level plan can be packaged as a higher-level action.","A cost functional accumulates stage costs l(x,u) and terminal cost; examples include distance, time, and energy.","Modeler defines state, feasible action set, transition, stage cost, horizon, and terminal cost.","Finite-horizon sum is one model; hierarchical packaging makes action count granularity-dependent.","Formal feasibility and cost-to-go equations expose assumptions.","Define actions by feasible state, invocation, transition, termination, and resource trace; test split/merge granularity.","Does not define a canonical forensic action unit or resource weights.","Local PDF pp. 19, 22-23, 30-31",included
RL-01,reinforcement learning,reference textbook,2018,Reinforcement Learning: An Introduction (2nd ed.),http://incompleteideas.net/book/the-book-2nd.html,verified_full_text_local_pdf,"At each decision time the agent selects A_t from A(S_t), then receives R_{t+1} and S_{t+1}; an option is a policy plus termination and can span many base steps.","Reward can be r(s,a) or r(s,a,s'); cost is negative reward only after semantics and scale are defined.","Environment or model determines transitions and rewards; options execute low-level actions until termination.","Return uses declared horizon or discount. One option can replace many primitive actions, so action count is representation-dependent.","Policy evaluation uses observed or modeled transitions and returns.","Require decision epoch and termination; report high-level acquisitions and primitive operations or resource-normalized metrics.","Does not make primitive-action count comparable to option count and does not assign domain costs.","Local PDF pp. 20, 28-29, 70, 483-485",included
