case_id,mask_strategy,mask_intensity,seed,planner,target_granularity,support_ceiling,initial_granularity,final_granularity,reached_target,explicit_stop,correct_target_stop,correct_degrade_stop,correct_stop,ceiling_violation,cost_to_target,budget_used,steps_to_target,steps_taken,actions_taken,zero_yield_actions,overlap_waste_cost,initial_hidden_claims,recovered_claims,final_node_coverage,final_edge_coverage,final_critical_gap_count,initial_direct_over_attribution,oracle_cost_to_target,cost_regret_vs_oracle,oracle_top1_action_id,oracle_top1_action_hit,premature_stop,justified_degrade_stop
C01-linux-provenance,random,0.2,11,random,G3_campaign,G5_named_actor,G2_tactic_intent,G2_tactic_intent,0,1,0,0,0,0,,7.0,,5,C01-AA-008|C01-AA-006|C01-AA-003|C01-AA-001|STOP,4,0.9167,3,0,0.8333,0.6,1,1,3.0,,C01-AA-002,0,1,0
C01-linux-provenance,random,0.2,11,fixed_order,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C01-AA-001|C01-AA-002,1,0.3333,3,3,1.0,1.0,0,1,3.0,2.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,coverage_greedy,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C01-AA-002,0,0.0,3,3,1.0,1.0,0,1,3.0,0.0,C01-AA-002,1,0,0
C01-linux-provenance,random,0.2,11,project05_m1,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C01-AA-003|C01-AA-002,1,0.0,3,3,1.0,1.0,0,1,3.0,2.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,project05_m2,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C01-AA-007,0,0.0,3,3,1.0,1.0,0,1,3.0,0.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,project05_m3a_gap_compat,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C01-AA-007,0,0.0,3,3,1.0,1.0,0,1,3.0,0.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,m1_no_granularity,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,6.0,6.0,3,3,C01-AA-003|C01-AA-006|C01-AA-002,2,0.3333,3,3,1.0,1.0,0,1,3.0,3.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,m1_no_uncertainty,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C01-AA-003|C01-AA-002,1,0.0,3,3,1.0,1.0,0,1,3.0,2.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,m1_no_risk,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C01-AA-003|C01-AA-002,1,0.0,3,3,1.0,1.0,0,1,3.0,2.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,m1_no_coverage,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,5.0,5.0,2,2,C01-AA-003|C01-AA-002,1,0.0,3,3,1.0,1.0,0,1,3.0,2.0,C01-AA-002,0,0,0
C01-linux-provenance,random,0.2,11,m1_no_cost,G3_campaign,G5_named_actor,G2_tactic_intent,G3_campaign,1,0,1,0,1,0,3.0,3.0,1,1,C01-AA-002,0,0.0,3,3,1.0,1.0,0,1,3.0,0.0,C01-AA-002,1,0,0
