candidate_id,domain,statistical_unit,label_truth,license_or_rights,quantity_potential,modality_match,formal_packet_null,amendment_role,decision,reason,evidence
provsec,host_provenance,syscall_event_and_runtime_scenario,"manual benign/adversary scenario label; event fields are explicit",article_CC-BY-4.0_dataset_terms_need_nested_check,341700_benign_events,high,false,none,reject,"Every benign event is itself a process/file/network observation; recorder also documents missed early process creation",https://doi.org/10.1007/s44227-023-00014-9
beth,host_process_and_network,kernel_or_network_event,"manual benign/sus/evil; paper warns labels come from one reviewer",data_deposit_CC0_paper_states_CC-BY-4.0,over_8_million_events,high,false,none,reject,"Rows contain process/event relations; attack class is not empty-graph truth",https://doi.org/10.14469/hpc/9422
lid_ds,host_syscall,30_second_syscall_trace,"normal/attack scenario truth",GPL-3.0_framework_payload_terms_require_recheck,7000_normal_traces,high,false,none,reject,"Normal traces contain up to tens of thousands of syscalls and therefore many valid observations",https://doi.org/10.1007/978-3-031-35190-7_6
darpa_tc_kairos_windows,provenance,provenance_time_window,"manual benign/attack window from attack ground truth",blocked_families,more_than_478,high,false,none,hard_reject,"E3/E5/OpTC are blocked and benign windows still contain provenance edges",https://arxiv.org/abs/2308.05034
cyseced_or_casie,cybersecurity_text,token_or_event_argument,"non-trigger token or omitted event type",CASIE_no_root_license_verified_CySecED_artifact_not_fixed,more_than_478,medium,false,diagnostic_only,reject,"Token O labels are not event-free documents and do not match process/file/network SPO output",https://doi.org/10.18653/v1/2020.emnlp-main.433
aptie,apt_cti_text,sentence,"manual entity/relation/event annotations; 669 sentences lack an APTIE event trigger",CC-BY-NC-ND-4.0,669_no_event_sentences_but_1506_relations,medium,false,diagnostic_only,reject,"No-event sentences can still contain relations; TTP/actor ontology and restrictive license conflict with the frozen route",https://doi.org/10.1038/s41597-026-07487-7
case2021_negative_documents,protest_news,document,"document selected as containing no target protest event during annotation",terms_not_frozen_in_this_review,7412_negative_documents,low,false,method_precedent,smoke_only,"Truth is legitimate only relative to a closed protest ontology; domain and modality create an obvious shortcut",https://aclanthology.org/2023.case-1.17/
contractnli,legal_contracts,document_hypothesis_pair,"human entailment/contradiction/not-mentioned plus evidence spans",CC-BY-4.0,607_documents_times_fixed_hypotheses,low,false,candidate_conditioned_verifier,amendment_candidate,"Strong label protocol but it changes the task unit from packet extraction to claim verification",https://doi.org/10.18653/v1/2021.findings-emnlp.164
anli,general_nli,premise_hypothesis_pair,"writer target label plus independent verification/relabel/discard",dataset_terms_require_nested_check,over_100000_examples,low,false,candidate_conditioned_verifier,amendment_candidate,"Supports verified hard negatives but lacks security modality and source pointers",https://doi.org/10.18653/v1/2020.acl-main.441
at4ctire,cti_text,candidate_threat_triple,"initial-extractor wrong relation and generator-produced negative",article_CC-BY_data_artifact_not_fixed,thousands_of_entity_pairs,medium,false,candidate_triple_verifier,amendment_candidate,"Domain-relevant architecture; negative triples and unavailable CTIA artifact cannot serve as Project05 gold",https://doi.org/10.3390/electronics14020324
re_docred_cf,general_docre,document_relation_triple,"entity-replaced document preserves the original supported relation",derived_DocRED_terms_require_check,large,low,false,anti_shortcut_counterfactual,diagnostic_only,"Counterfactual examples are positives and reported plausibility is not perfect; they do not fill null",https://doi.org/10.18653/v1/2024.findings-emnlp.672
project05_pointer_bounded_counterfactual,approved_project05_train_sources,record_pointer_candidate_SPO,"mechanical mismatch proof within one bound record; explicitly not a world-false claim",inherits_already_approved_source_terms,at_least_one_candidate_per_G0_positive_record,exact,false,candidate_conditioned_verifier,draft_amendment_recommended,"Same-modality positive/negative pairs can be generated without missing-KG assumptions, but only after an explicit task-contract amendment",local_draft_only
