zotero_key,title,year,scope_group,semantic_role,model_or_service,model_origin_class,access_mode,adaptation,closed_api_direct,commercial_open_weight_direct,nonprofit_open_weight_direct,llm_generated_training_data_origin,evidence_status,evidence_source,notes
MZ7FKZB4,"APT-CGLP: Advanced Persistent Threat Hunting via Contrastive Graph-Language Pre-Training",2025,core,"provenance graph/CTI alignment; synthetic Graph2CTI; CTI denoising","Llama-3-8B",commercial_open_weight_only,"local open-weight inference",prompting_ICL,no,yes,no,commercial_open_weight,verified_fulltext,"02-literature-notes/2025-Qiu-APT-CGLP.md; 08-writing/llm-provenance-compiler-prior-art-review-v0.1-20260717/sources/fulltext/apt-cglp-2511.20290.txt","The BERT graph-language encoder is trained, but the LLM itself is not fine-tuned."
N3P7Y97X,"AURA: A Multi-Agent Intelligence Framework for Knowledge-Enhanced Cyber Threat Attribution",2025,core,"TTP/IOC/malware/timeline extraction and RAG-based actor attribution","GPT-4o; GPT-4o-mini; Claude 3.5 Haiku; Claude 3.5 Sonnet",closed_proprietary_only,"provider APIs",prompting_RAG_agent,yes,no,no,none,verified_fulltext_note,"02-literature-notes/2025-Rani-AURA.md","No reported model fine-tuning."
DP9R363G,"CyberSleuth: Autonomous Blue-Team LLM Agent for Web Attack Forensics",2025,core,"PCAP evidence extraction, CVE linking, success judgment, forensic reporting","GPT-4o; o3; GPT-5; DeepSeek-R1; Kimi-K2; Llama-4",mixed_closed_and_commercial_open_weight,"OpenAI API and hosted APIs via Together.ai",prompting_tool_agent,yes,yes,no,none,verified_fulltext,"Zotero PDF DP9R363G/YLURXW4J; 02-literature-notes/2026-Fumero-CyberSleuth.md","Open-weight model families are still consumed through hosted APIs in the reported comparison."
FV76J29I,"CyLens: Towards Reinventing Cyber Threat Intelligence in the Paradigm of Agentic Large Language Models",2025,core,"CTI lifecycle analysis from attribution to remediation","Llama-3.2-1B; Llama-3.1-8B; Llama-3.3-70B",commercial_open_weight_only,"commercial open weights; trained by authors",continued_pretraining_plus_instruction_tuning,no,yes,no,mixed_closed_and_commercial_open_weight,verified_fulltext,"07-zotero-exports/pdf_text_20260704/CyLens_Towards_Reinventing_Cyber_Threat_Intelligence_in_the_Paradigm_of_Agentic_Large_Language_Models.txt","Training-report generation/revision also uses GPT-4o, GPT-o1, Gemini-Pro, Pixtral-Large, DeepSeek-R1, and Llama-3.1-405B."
E3KRG7WU,"LLM-Assisted Proactive Threat Intelligence for Automated Reasoning",2025,core,"live CTI/RAG reasoning and proactive threat analysis","GPT-4o",closed_proprietary_only,"OpenAI/Azure-style API deployment",prompting_RAG,yes,no,no,none,verified_fulltext,"07-zotero-exports/pdf_text_20260704/LLM-Assisted_Proactive_Threat_Intelligence_for_Automated_Reasoning.txt","Llama-3-70B is described as a supported alternative, not the main reported model."
KCV8WHDL,"LOCALINTEL: Generating Organizational Threat Intelligence from Global and Local Cyber Knowledge",2024,core,"global/local CTI contextualization and organizational report generation","GPT-3.5-turbo; GPT-4o; Llama-2-7B-Chat; Llama-3.1-8B-Instruct; Mistral-7B-Instruct; Mistral-NeMo-Minitron; Qwen1.5-7B-Chat; Prometheus/WestLake variants",mixed_closed_and_commercial_open_weight,"provider APIs plus Hugging Face weights",prompting_RAG,yes,yes,no,none,verified_fulltext,"07-zotero-exports/pdf_text_20260704/LOCALINTEL_Generating_Organizational_Threat_Intelligence_from_Global_and_Local_Cyber_Knowledge.txt; 02-literature-notes/2025-Mitra-LocalIntel.md","Models are compared under the same prompts; no task fine-tuning is reported."
KAGZXPX5,"MM-AttacKG: A Multimodal Approach to Attack Graph Construction with Large Language Models",2025,core,"CTI text/image semantic extraction and attack-graph enrichment","Qwen-VL-72B; Qwen2.5-VL-32B; Qwen2.5-VL-7B",commercial_open_weight_only,"commercial open-weight multimodal models",prompting_multistage,no,yes,no,none,verified_fulltext,"02-literature-notes/2025-Zhang-MM-AttacKG.md; 08-writing/llm-provenance-compiler-prior-art-review-v0.1-20260717/sources/fulltext/mm-attackg-2506.16968.txt","No reported LLM fine-tuning."
RLQ6VX3I,"Multi-Step LLM Pipeline for Enhancing TTP Extraction in Cyber Threat Intelligence",2025,core,"CTI text to atomic actions and ATT&CK techniques","ChatGPT-4o; OpenAI embedding service",closed_proprietary_only,"OpenAI APIs",prompting_retrieval_validator,yes,no,no,none,verified_fulltext_note,"02-literature-notes/2025-Kim-Multi-Step-LLM-Pipeline-TTP-Extraction.md","No reported LLM fine-tuning."
G3JYUJ7P,"Policy-Guided Threat Hunting: An LLM Enabled Framework with Splunk SOC Triage",2026,core,"flow/log contextual triage and SOC explanation","ChatGPT public API; exact checkpoint not frozen",closed_proprietary_only,"public LLM API",prompting_multiagent,yes,no,no,none,verified_fulltext,"Zotero PDF G3JYUJ7P/V3PJS4PZ","Paper recommends local LLMs for sensitive logs but reports a public ChatGPT API implementation."
W2FNF4LK,"SEvenLLM: Benchmarking, Eliciting, and Enhancing Abilities of Large Language Models in Cyber Threat Intelligence",2024,core,"bilingual CTI extraction, understanding, and generation tasks","Llama-2-7B/13B; Qwen1.5-7B/14B",commercial_open_weight_only,"commercial open weights; trained by authors",multitask_instruction_tuning,no,yes,no,closed_proprietary,verified_fulltext,"07-zotero-exports/pdf_text_20260704/SEvenLLM_Benchmarking_Eliciting_and_Enhancing_Abilities_of_Large_Language_Models_in_Cyber_Threat_Intelligence.txt; 02-literature-notes/2024-Ji-SEvenLLM.md","GPT-4 generates task candidates/instruction data; human experts refine the task pool and benchmark."
