blind_id,reviewed,selected_node_ids_pipe,annotator_notes
INT-001,yes,N04_wmi_0402,该节点名称含 wmi 与 0402，和目标/请求里的 Invoke-WmiMethod → SysClient0402 / WMI pivot 字面直接对应
INT-002,yes,N02_binfmt_elevation,名称含 elevation（提权）；请求提到 follow-on elevation
INT-003,yes,N01_appstarter_c2,名称含 Appstarter + C2；目标/请求含 Appstarter busybox、confirm C2
INT-004,yes,N04_lwabeat_migration,名称含 lwabeat + migration；与目标/请求中的 f.exe→lwabeat migration 字面直接对应
INT-005,yes,N02_uac_windir,名称含 uac + windir；与目标/请求 直接对应
INT-006,yes,N04_lwabeat_migration,"名称含 migration；请求提到 migration-adjacent,道是网络摘要，算“网络可见”"
INT-007,yes,N05_nashua_collection_exfil,名称含 nashua + collection/exfil；与 NASHUA 通道/目标 字面相关；请求强调 files/processes created
INT-008,yes,N05_nashua_collection_exfil,名称含 nashua；本动作目标/通道是 SCRANTON，不是 NASHUA
INT-009,yes,N04_lateral_movement,请求把它当作时间锚点（after lateral-movement）
INT-010,yes,N02_binfmt_elevation,名称含 binfmt + elevation；与目标/请求 直接对应
INT-011,yes,N05_nashua_collection_exfil,名称含 nashua；本动作通道/目标是 SCRANTON
INT-012,yes,N01_malicious_upgrade_drop,名称含 upgrade + drop；与 updater drop 字面接近
INT-013,yes,N03_sshd_artifact,名称含 sshd；目标是 /var/log/sshdlog；stage 为 post_compromise
INT-014,yes,N02_payload_execution,名称偏载荷执行；与 f.exe 创建/执行 接近
INT-015,yes,N01_firefox_c2,名称含 Firefox + C2；与目标/请求 直接对应
INT-016,yes,N01_firefox_c2,后面都没有相应的提及，所以选择最开始的N01
INT-017,yes,N04_lateral_movement,"与 remote execution / 横向相关,请求写的是 remote execution"
INT-018,yes,N01_malicious_upgrade_drop,请求提到“不要当成 malicious-upgrade 缺口”
INT-019,yes,N03_meterpreter_c2,称含 C2；与 f.exe C2 lineage 接近
INT-020,yes,N01_empire_c2,名称含 empire + c2；与目标/请求 直接对应
INT-021,yes,N01_empire_c2,求提到“不要当成 Empire 缺口”
INT-022,yes,N02_elevate_msm,名称含 elevate + msm；与 msm_g711tlaw elevate 字面接近
INT-023,yes,N03_screenshot,名称含 screenshot；与 Get-Screenshot / collection 直接对应
INT-024,yes,N02_elevate_msm,名称含 elevate；目标也有 elevate-driver，但请求强调这是 benign、不应当攻击链缺口
INT-025,yes,N03_screencap,名称含 screencap；与目标/请求 直接对应
INT-026,yes,N01_appstarter_c2,名称含 appstarter + c2；与目标/请求 直接对应
INT-027,yes,N01_empire_c2,名称含 empire + c2；与目标/请求 直接对应
