blind_id,reviewed,support_label,source_pointer_valid,annotator_notes
CLM-001,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-002,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-003,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-004,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-005,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-006,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-007,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-008,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-009,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-010,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-011,yes,2_direct,yes,学生觉得已经很直接了，映射没太当回事
CLM-012,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-013,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-014,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-015,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-016,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-017,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-018,yes,1_partial,yes,主体和行为大致有，客体不完全一致或过于含糊
CLM-019,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-020,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-021,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-022,yes,2_direct,yes,学生觉得已经很直接了，映射没太当回事
CLM-023,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-024,yes,1_partial,yes,核心有部分对应，但客体表述/路径不完全一致，且有额外映射
CLM-025,yes,1_partial,yes,核心事件大致能对上，但战术/技术映射是额外的
CLM-026,yes,2_direct,yes,主体行为客体在摘录里基本对得上
CLM-027,yes,1_partial,yes,主体和行为大致有，客体不完全一致或过于含糊
