paper_id,title,screening_status,reason,fulltext_status
2603.17100,Auto-Prov,included_core,"strongest raw-log to provenance-graph novelty threat",full_text
2411.08359,MultiKG,included_core,"only located work combining audit logs CTI and static code into a unified attack-technique graph",full_text
2511.20290,APT-CGLP,included_core,"direct CTI-provenance semantic alignment and threat-hunting precedent",full_text
2607.05001,TACTIC-KG,included_core,"span-level faithful CTI triples and evidence-grounded verifier",full_text
2510.01409,OntoLogX,included_core,"raw logs to ontology-grounded event knowledge graphs with originating-log traceability",full_text
2506.17512,Matryoshka,included_core,"mature semantic log parser and schema-normalization component",full_text
2410.21060,CTINexus,included_core,"mature open-source CTI extraction and entity-alignment component",full_text
2405.04753,AttacKG+,included_core,"LLM CTI to behavior-graph precedent",full_text
2602.11211,TRACE,included_core,"multi-source CTI KG with source fields and source-text relation validation",full_text
2509.01271,Automated Attack Investigation,included_abstract_only,"closest iterative LLM attack-investigation claim; full text endpoint returned 404",abstract_only
2510.15188,OCR-APT,included_adjacent,"provenance anomaly detection followed by LLM reconstruction",full_text
2503.03108,OMNISEC,included_adjacent,"LLM-based judgment and reconstruction over prebuilt provenance graph",full_text
2605.22027,Sieve,included_component,"parser-free deterministic query-code generation over raw logs",full_text
2507.10873,SHIELD,included_abstract_only,"LLM-aided HIDS investigation; full text endpoint returned 404",abstract_only
2503.18316,Knowledge Transfer from LLMs to Provenance Analysis,included_adjacent,"LLM-derived semantic features for provenance detection, not graph compilation",full_text
2506.16968,MM-AttacKG,excluded_scope,"multimodal CTI image-text attack graph; Project05 explicitly excludes multimodal images",full_text
2407.02528,Actionable CTI using KGs and LLMs,included_adjacent,"CTI extraction and reasoning component without case-level provenance controller",full_text
2505.11901,CyberTeam,included_context,"benchmark for LLM threat hunting, not a compiler implementation",full_text
