blind_id,reviewed,selected_node_ids_pipe,annotator_notes
INT-001,yes,N04_wmi_0402|N03_screenshot,按请求/目标关键词事前匹配: N04_wmi_0402|N03_screenshot
INT-002,yes,N01_firefox_c2|N02_binfmt_elevation,按请求/目标关键词事前匹配: N01_firefox_c2|N02_binfmt_elevation
INT-003,yes,N01_appstarter_c2|N02_elevate_msm,按请求/目标关键词事前匹配: N01_appstarter_c2|N02_elevate_msm
INT-004,yes,N04_lwabeat_migration|N03_meterpreter_c2|N01_malicious_upgrade_drop|N02_payload_execution,按请求/目标关键词事前匹配: N04_lwabeat_migration|N03_meterpreter_c2|N01_malicious_upgrade_drop|N02_payload_execution
INT-005,yes,N03_screenshot|N02_uac_windir,按请求/目标关键词事前匹配: N03_screenshot|N02_uac_windir
INT-006,yes,N04_lwabeat_migration|N03_meterpreter_c2|N01_malicious_upgrade_drop|N02_payload_execution,按请求/目标关键词事前匹配: N04_lwabeat_migration|N03_meterpreter_c2|N01_malicious_upgrade_drop|N02_payload_execution
INT-007,yes,N05_nashua_collection_exfil|N04_lateral_movement,按请求/目标关键词事前匹配: N05_nashua_collection_exfil|N04_lateral_movement
INT-008,yes,N01_initial_breach_c2|N02_collection_first_exfil|N03_uac_bypass_https_c2|N04_lateral_movement,按请求/目标关键词事前匹配: N01_initial_breach_c2|N02_collection_first_exfil|N03_uac_bypass_https_c2|N04_lateral_movement
INT-009,yes,N05_nashua_collection_exfil|N04_lateral_movement,按请求/目标关键词事前匹配: N05_nashua_collection_exfil|N04_lateral_movement
INT-010,yes,N02_binfmt_elevation|N03_sshd_artifact,按请求/目标关键词事前匹配: N02_binfmt_elevation|N03_sshd_artifact
INT-011,yes,N01_initial_breach_c2|N02_collection_first_exfil|N03_uac_bypass_https_c2|N04_lateral_movement,按请求/目标关键词事前匹配: N01_initial_breach_c2|N02_collection_first_exfil|N03_uac_bypass_https_c2|N04_lateral_movement
INT-012,yes,N01_malicious_upgrade_drop|N02_payload_execution,按请求/目标关键词事前匹配: N01_malicious_upgrade_drop|N02_payload_execution
INT-013,yes,N02_binfmt_elevation|N03_sshd_artifact,按请求/目标关键词事前匹配: N02_binfmt_elevation|N03_sshd_artifact
INT-014,yes,N01_malicious_upgrade_drop|N02_payload_execution,按请求/目标关键词事前匹配: N01_malicious_upgrade_drop|N02_payload_execution
INT-015,yes,N01_firefox_c2|N02_binfmt_elevation,按请求/目标关键词事前匹配: N01_firefox_c2|N02_binfmt_elevation
INT-016,yes,,人工复核良性/非攻击链缺口，候选攻击节点事前不直接对应，先不选
INT-017,yes,N03_uac_bypass_https_c2,按请求/目标关键词事前匹配: N03_uac_bypass_https_c2
INT-018,yes,,人工复核良性/非攻击链缺口，候选攻击节点事前不直接对应，先不选
INT-019,yes,N04_lwabeat_migration|N03_meterpreter_c2|N01_malicious_upgrade_drop|N02_payload_execution,按请求/目标关键词事前匹配: N04_lwabeat_migration|N03_meterpreter_c2|N01_malicious_upgrade_drop|N02_payload_execution
INT-020,yes,N01_empire_c2,按请求/目标关键词事前匹配: N01_empire_c2
INT-021,yes,,人工复核良性/非攻击链缺口，候选攻击节点事前不直接对应，先不选
INT-022,yes,N03_screencap|N01_appstarter_c2|N02_elevate_msm,按请求/目标关键词事前匹配: N03_screencap|N01_appstarter_c2|N02_elevate_msm
INT-023,yes,N03_screenshot|N01_empire_c2,按请求/目标关键词事前匹配: N03_screenshot|N01_empire_c2
INT-024,yes,,人工复核良性/非攻击链缺口，候选攻击节点事前不直接对应，先不选
INT-025,yes,N03_screencap|N01_appstarter_c2|N02_elevate_msm,按请求/目标关键词事前匹配: N03_screencap|N01_appstarter_c2|N02_elevate_msm
INT-026,yes,N01_appstarter_c2|N02_elevate_msm,按请求/目标关键词事前匹配: N01_appstarter_c2|N02_elevate_msm
INT-027,yes,N01_empire_c2,按请求/目标关键词事前匹配: N01_empire_c2
