evidence_id,evidence_class,source,year,unit_of_analysis,negative_or_null_semantics,directness,key_evidence,project05_implication,quality,doi_or_url
E01,peer_reviewed_dataset,"Shrestha et al., ProvSec",2023,runtime scenario and syscall event,"Benign scenario means no injected attack; it still contains process/file/network syscalls",direct_dataset,"11 paired benign/adversary recordings; 341.7K benign events; each event contains syscall/process/file/network fields","Benign provenance events are positive observations, not empty compiler packets",A,https://doi.org/10.1007/s44227-023-00014-9
E02,peer_reviewed_dataset,"Highnam et al., BETH",2021,kernel process or network event,"benign/sus/evil are anomaly or maliciousness labels","direct_dataset","Over 8M events; each row has process/event fields; sus/evil labels were assigned by one reviewer","A benign BETH row still supports a concrete process/network observation and cannot be train-null",A,https://doi.org/10.14469/hpc/9422
E03,peer_reviewed_dataset,"Grimmer et al., LID-DS",2023,30-second syscall trace,"normal means simulated normal behavior without the injected attack","direct_dataset","LID-DS records syscall IDs, arguments, return values, process IDs and timestamps; normal traces contain tens of thousands of syscalls","Normal attack-classification traces are not empty semantic graphs",A,https://doi.org/10.1007/978-3-031-35190-7_6
E04,peer_reviewed_adjacent,"Cheng et al., Kairos",2024,provenance time window,"benign/attack window is assigned from attack ground truth","adjacent_detection","The paper evaluates anomaly detection over windows while the windows themselves consist of provenance edges","Window attack status cannot establish absence of extractable edges; blocked DARPA/OpTC families also remain excluded",B,https://arxiv.org/abs/2308.05034
E05,peer_reviewed_security_ie,"Trong et al., CySecED",2020,token in cybersecurity news,"Negative examples are non-trigger words for 30 event types","direct_security_ie","292 documents were manually annotated; token negatives are words not selected as event triggers, not documents with no process/file/network observation","Useful for event-trigger classification only; not a packet-null source",A,https://doi.org/10.18653/v1/2020.emnlp-main.433
E06,peer_reviewed_security_ie,"Sun et al., APTIE",2026,sentence,"A sentence may lack one of the annotated APT event triggers while still containing entities or relations","direct_security_ie","808 sentences contain 2574 entities, 1506 relations and 139 event instances; dataset license is CC BY-NC-ND 4.0","No-event is relative to the APTIE ontology and does not imply no Project05 observation; license is also restrictive",A,https://doi.org/10.1038/s41597-026-07487-7
E07,peer_reviewed_security_re,"Han et al., AT4CTIRE",2025,candidate threat triple,"Wrong relations from an initial extractor and generator-produced triples train a discriminator","direct_architecture_adjacent","The system verifies actual versus generated CTI triples in context, but generated negatives are not independent case-level absence truth and the reported CTIA artifact is not the data made available","Supports a candidate-triple verifier architecture, not the current unconditioned packet-null label",B,https://doi.org/10.3390/electronics14020324
E08,peer_reviewed_event_extraction,"Mutlu, Negative documents are positive",2023,document or sentence,"Negative means no target protest event under a closed event ontology","methodological_adjacent","717 negative documents were sampled from 7412 documents rejected during the shared-task event-annotation pipeline; training with them improved event extraction","Shows that explicit ontology-relative document negatives are legitimate, but the domain and target ontology do not match Project05 logs",A,https://aclanthology.org/2023.case-1.17/
E09,peer_reviewed_nli,"Koreeda and Manning, ContractNLI",2021,document-hypothesis pair,"Entailment, contradiction or not-mentioned relative to a fixed hypothesis plus evidence spans","methodological_adjacent","607 contracts were annotated; evidence identification is defined for entailed/contradicted claims and not-mentioned is explicitly hypothesis-conditioned; repository is CC BY 4.0","Directly supports candidate-conditioned source verification, but not empty-output labels for unconditioned log extraction",A,https://doi.org/10.18653/v1/2021.findings-emnlp.164
E10,peer_reviewed_nli,"Nie et al., ANLI",2020,premise-hypothesis pair,"Human writers create target entailment/neutral/contradiction examples and independent verifiers accept, relabel or discard them","methodological_adjacent","Adversarial examples are verified by additional annotators; unresolved disagreements are discarded","Supports explicit candidate-level non-entailment and hard-negative validation, not world-event absence",A,https://doi.org/10.18653/v1/2020.acl-main.441
E11,peer_reviewed_docre,"Modarressi et al., CovEReD",2024,document relation triple,"Entity replacements create counterfactual documents while preserving context-supported relation labels","methodological_adjacent","Re-DocRED-CF tests whether models retain the same relation after entity replacement; reported manual plausibility is 90%","Counterfactual entity replacement addresses entity shortcuts but produces counterfactual positives, not reliable packet-null negatives",A,https://doi.org/10.18653/v1/2024.findings-emnlp.672
E12,preprint_claim_verification,"Kotonya et al., ClaimVer",2024,claim and retrieved KG triples,"Attributable, contradictory or extrapolatory relative to candidate triples","methodological_adjacent","Uses exact membership/string checks but initial labels are generated with GPT-4 and assumes adequate KG coverage","Architecture is relevant as a diagnostic precedent; synthetic ground truth is insufficient for Project05 formal labels",C,https://arxiv.org/abs/2403.09724
E13,peer_reviewed_relation_extraction,"Xie et al., Revisiting Negative Data in DS-RE",2021,relation instance,"Unlinked relation is unlabeled, not automatically negative","methodological","Relation extraction under incomplete knowledge is reformulated as positive-unlabeled learning","Forbids using missing links or model non-detection as a packet-null shortcut",A,https://doi.org/10.18653/v1/2021.acl-long.277
E14,peer_reviewed_relation_extraction,"Tan et al., Revisiting DocRED",2022,document relation,"Manual re-annotation recovers missed positive relations","methodological","False negatives are prevalent in incompletely annotated document-level RE","Any automatically corrupted candidate needs a local proof contract rather than an open-world false claim",A,https://doi.org/10.18653/v1/2022.emnlp-main.580
E15,methodological_review,"Madushanka and Ichise, Negative Sampling in KGRL",2024,knowledge-graph triple,"Corrupted missing triples are negatives only under CWA/LCWA and can be false negatives","methodological","The review identifies false negatives as a central problem and recommends constraints, reasoning and validation","Type constraints alone are not truth; Project05 must bind a negative to one exact source record and avoid world-level claims",C,https://arxiv.org/abs/2402.19195
